PointsCount EstimatedArea RelativeError
62100 0.947162 0.0028
62600 0.927915 0.0175771
63100 0.937896 0.00700992
63600 0.943691 0.000874678
64100 0.94842 0.00413254
64600 0.94553 0.00107251
65100 0.942396 0.00224546
65600 0.9496 0.00538123
66100 0.939202 0.00562745
66600 0.94482 0.000320411
67100 0.943368 0.00121658
67600 0.939996 0.00478645
68100 0.950073 0.00588262
68600 0.933218 0.011963
69100 0.934696 0.010398
69600 0.940374 0.00438703
70100 0.953281 0.00927865
70600 0.949894 0.00569241
71100 0.949103 0.00485559
71600 0.95941 0.0157676
72100 0.95371 0.00973295
72600 0.948003 0.00369032
73100 0.941347 0.00335591
73600 0.935122 0.00994678
74100 0.946947 0.00257222
74600 0.947302 0.00294869
75100 0.936085 0.00892728
75600 0.940559 0.00419084
76100 0.938157 0.00673376
76600 0.952839 0.0088111
77100 0.932636 0.0125789
77600 0.953528 0.00953982
78100 0.952705 0.00866864
78600 0.927004 0.0185421
79100 0.942715 0.00190814
79600 0.951476 0.00736773
80100 0.952169 0.00810147
80600 0.93812 0.0067726
81100 0.949676 0.0054622
81600 0.970512 0.0275214
82100 0.941763 0.00291587
82600 0.943326 0.00126087
83100 0.941787 0.00289056
83600 0.93451 0.0105955
84100 0.95489 0.0109821
84600 0.934028 0.0111056
85100 0.943816 0.00074227
85600 0.945166 0.000687426
86100 0.943525 0.0010505
86600 0.938583 0.00628323
87100 0.94647 0.00206708
87600 0.94492 0.000426573
88100 0.952682 0.00864402
88600 0.942156 0.00250014
89100 0.944374 0.000151281
89600 0.9488 0.00453463
90100 0.947142 0.00277907
90600 0.935499 0.00954746
91100 0.952456 0.00840525
91600 0.949168 0.00492356
92100 0.940486 0.00426811
92600 0.931695 0.0135749
93100 0.949852 0.00564852
93600 0.92488 0.0207909
94100 0.942614 0.00201473
94600 0.940803 0.00393196
95100 0.946569 0.00217277
95600 0.952275 0.00821363
96100 0.953759 0.00978481
96600 0.953028 0.0090107
97100 0.955136 0.0112431
97600 0.940382 0.00437846
98100 0.944444 7.70144e-05
98600 0.938704 0.00615428
99100 0.952132 0.00806179
99600 0.934237 0.0108841
